;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;monto_del_credito;línea_credito;fecha_de_beneficio
1206;FEMENINO;SERVICIO;PRODUCTOS DE BELLEZA;VILLA HERMOSA;3;8.0;7800000;MICROEMPRESARIAL;2018-05-11
1207;FEMENINO;SERVICIO;COMIDAS RAPIDAS;MANRIQUE CENTRAL NO. 2;2;3.0;6800000;MICROEMPRESARIAL;2016-06-01
1208;MASCULINO;INDUSTRIA;FABRICA DE;SAN JAVIER NO.1;2;13.0;7800000;MICROEMPRESARIAL;2018-05-29
1209;FEMENINO;COMERCIO;FABRICA DE HELADOS;20 DE JULIO;1;13.0;1500000;MICROEMPRESARIAL;2018-12-06
1210;MASCULINO;SERVICIO;CAFE E INTERNET;LA MILAGROSA;2;2.0;5000000;MICROEMPRESARIAL;2018-02-05
1211;FEMENINO;COMERCIO;ALMACEN DE ROPA EN;ALFONSO LOPEZ;3;5.0;6000000;MICROEMPRESARIAL;2017-08-23
1212;FEMENINO;INDUSTRIA;FABRICA DE;CAMPO VALDES NO. 1;3;4.0;6800000;MICROEMPRESARIAL;2016-08-05
1213;MASCULINO;COMERCIO;ALMACEN DE ROPA EN;ENCISO;3;8.0;7377000;MICROEMPRESARIAL;2017-08-03
1214;FEMENINO;INDUSTRIA;FABRICA DE;SAN JAVIER NO.1;1;13.0;5000000;MICROEMPRESARIAL;2016-06-29
1215;FEMENINO;COMERCIO;MISCELANEA;ALTAVISTA;1;70.0;6890000;MICROEMPRESARIAL;2016-05-24
1216;MASCULINO;COMERCIO;TIENDA;SAN JAVIER NO.1;3;13.0;7300000;MICROEMPRESARIAL;2017-10-17
1217;MASCULINO;COMERCIO;VARIEDADES;BUENOS AIRES;2;9.0;3500000;MICROEMPRESARIAL;2017-05-23
1218;MASCULINO;INDUSTRIA;FABRICA DE;CABECERA SAN ANTONIO ;3;80.0;3500000;MICROEMPRESARIAL;2018-03-15
1220;FEMENINO;INDUSTRIA;FABRICA DE;BUENOS AIRES;3;9.0;6500000;MICROEMPRESARIAL;2016-12-22
1221;FEMENINO;COMERCIO;CAFETERIA;LA MILAGROSA;3;9.0;3000000;MICROEMPRESARIAL;2017-06-30
1222;FEMENINO;SERVICIO;RECREATIVO EDUCATIVO;DOCE DE OCTUBRE NO.1;2;6.0;18000000;MICROEMPRESARIAL;2019-05-02
1223;FEMENINO;SERVICIO;PELUQUERIA;ENCISO;2;8.0;7000000;MICROEMPRESARIAL;2018-11-23
1224;FEMENINO;COMERCIO;VENTA DE CALZADO;ROBLEDO;2;7.0;3000000;MICROEMPRESARIAL;2016-06-01
1225;FEMENINO;COMERCIO;VARIEDADES;CENTRO ADMTIVO;3;10.0;7377000;MICROEMPRESARIAL;2017-02-02
1226;FEMENINO;COMERCIO;VARIEDADES;SANTA CRUZ;2;2.0;7300000;MICROEMPRESARIAL;2017-08-09
1227;FEMENINO;COMERCIO;ALMACEN DE ROPA EN;BOSTON;3;10.0;7000000;MICROEMPRESARIAL;2017-10-12
1228;FEMENINO;COMERCIO;TIENDA;CARPINELO;1;1.0;6000000;MICROEMPRESARIAL;2017-06-12
1229;MASCULINO;COMERCIO;FABRICA DE CALZADO;BUENOS AIRES;1;9.0;6000000;MICROEMPRESARIAL;2018-11-16
1230;FEMENINO;INDUSTRIA;FABRICA DE;POPULAR;1;1.0;7000000;MICROEMPRESARIAL;2018-03-12
1231;FEMENINO;COMERCIO;TIENDA;DOCE DE OCTUBRE NO.1;2;6.0;3500000;MICROEMPRESARIAL;2018-01-30
1232;FEMENINO;SERVICIO;LAVADERO DE;EL SALVADOR;3;9.0;7000000;MICROEMPRESARIAL;2018-01-31
1233;FEMENINO;SERVICIO;PUBLICIDAD Y;ARANJUEZ;3;4.0;6000000;MICROEMPRESARIAL;2017-10-13
1234;FEMENINO;COMERCIO;DISTRIBUIDORA DE;CABECERA SAN CRISTOBAL;2;60.0;6000000;MICROEMPRESARIAL;2018-08-24
1235;MASCULINO;COMERCIO;PAPELERIA;LAS PALMAS;3;90.0;4000000;MICROEMPRESARIAL;2018-08-01
1236;MASCULINO;COMERCIO;ALMACEN DE ROPA EN;SAN DIEGO;2;10.0;5000000;MICROEMPRESARIAL;2017-01-17
1237;FEMENINO;SERVICIO;PELUQUERIA;LA FRANCIA;2;2.0;7800000;MICROEMPRESARIAL;2018-03-20
1238;MASCULINO;COMERCIO;VARIEDADES;ALTAVISTA;2;70.0;7800000;MICROEMPRESARIAL;2018-06-22
1239;FEMENINO;SERVICIO;RESTAURANTE;GUAYABAL;3;15.0;6890000;MICROEMPRESARIAL;2016-07-15
1240;FEMENINO;COMERCIO;DISTRIBUIDORA DE;EL SALADO;1;13.0;4000000;MICROEMPRESARIAL;2018-08-16
1241;MASCULINO;INDUSTRIA;FABRICA DE;LA FLORESTA;3;12.0;6800000;MICROEMPRESARIAL;2016-03-10
1242;MASCULINO;COMERCIO;DROGUERIA;BOSQUES DE SAN PABLO;2;7.0;7000000;MICROEMPRESARIAL;2017-03-03
1243;FEMENINO;COMERCIO;FABRICA DE ALIMENTOS;SAN JAVIER NO.1;2;13.0;5000000;MICROEMPRESARIAL;2018-05-30
1244;MASCULINO;COMERCIO;COMIDAS RAPIDAS;BOMBONA NO. 1;3;10.0;2500000;MICROEMPRESARIAL;2017-06-27
